P&R Holešovice	74	14.4414664	50.1085686
Pondělí	0	900	1800	2700	3600	4500	5400	6300	7200	8100	9000	9900	10800	11700	12600	13500	14400	15300	16200	17100	18000	18900	19800	20700	21600	22500	23400	24300	25200	26100	27000	27900	28800	29700	30600	31500	32400	33300	34200	35100	36000	36900	37800	38700	39600	40500	41400	42300	43200	44100	45000	45900	46800	47700	48600	49500	50400	51300	52200	53100	54000	54900	55800	56700	57600	58500	59400	60300	61200	62100	63000	63900	64800	65700	66600	67500	68400	69300	70200	71100	72000	72900	73800	74700	75600	76500	77400	78300	79200	80100	81000	81900	82800	83700	84600	85500
	48	49	49	49	50	50	50	51	51	51	51	51	51	51	51	51	51	51	51	51	50	49	48	46	44	42	40	38	34	31	28	25	22	19	16	15	13	12	11	10	10	9	9	8	8	8	8	8	8	8	8	7	7	8	8	8	8	9	9	10	11	12	13	14	15	16	17	19	20	22	24	25	27	28	29	30	31	32	33	74	35	36	37	38	39	39	40	41	42	43	44	45	46	47	48	48
Úterý	0	900	1800	2700	3600	4500	5400	6300	7200	8100	9000	9900	10800	11700	12600	13500	14400	15300	16200	17100	18000	18900	19800	20700	21600	22500	23400	24300	25200	26100	27000	27900	28800	29700	30600	31500	32400	33300	34200	35100	36000	36900	37800	38700	39600	40500	41400	42300	43200	44100	45000	45900	46800	47700	48600	49500	50400	51300	52200	53100	54000	54900	55800	56700	57600	58500	59400	60300	61200	62100	63000	63900	64800	65700	66600	67500	68400	69300	70200	71100	72000	72900	73800	74700	75600	76500	77400	78300	79200	80100	81000	81900	82800	83700	84600	85500
	49	49	50	50	50	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	50	48	47	44	42	40	38	34	30	27	23	20	17	14	13	11	10	9	9	8	8	7	7	7	6	6	6	6	6	6	6	6	6	6	6	7	7	8	8	9	10	12	13	14	15	17	18	19	21	22	24	25	26	27	28	29	30	31	32	73	34	35	36	37	37	39	40	41	42	43	44	45	66	47	48
Středa	0	900	1800	2700	3600	4500	5400	6300	7200	8100	9000	9900	10800	11700	12600	13500	14400	15300	16200	17100	18000	18900	19800	20700	21600	22500	23400	24300	25200	26100	27000	27900	28800	29700	30600	31500	32400	33300	34200	35100	36000	36900	37800	38700	39600	40500	41400	42300	43200	44100	45000	45900	46800	47700	48600	49500	50400	51300	52200	53100	54000	54900	55800	56700	57600	58500	59400	60300	61200	62100	63000	63900	64800	65700	66600	67500	68400	69300	70200	71100	72000	72900	73800	74700	75600	76500	77400	78300	79200	80100	81000	81900	82800	83700	84600	85500
	49	49	50	50	51	51	51	51	52	52	52	52	52	52	52	52	52	52	52	51	51	50	49	47	44	43	40	38	35	31	28	25	21	17	14	13	11	10	9	8	7	6	6	6	6	6	5	5	5	5	5	5	5	5	5	5	5	6	6	7	8	9	10	11	12	13	14	16	17	18	20	22	22	23	24	25	26	26	27	29	30	31	32	33	34	35	35	37	38	39	41	42	43	44	45	46
Čtvrtek	0	900	1800	2700	3600	4500	5400	6300	7200	8100	9000	9900	10800	11700	12600	13500	14400	15300	16200	17100	18000	18900	19800	20700	21600	22500	23400	24300	25200	26100	27000	27900	28800	29700	30600	31500	32400	33300	34200	35100	36000	36900	37800	38700	39600	40500	41400	42300	43200	44100	45000	45900	46800	47700	48600	49500	50400	51300	52200	53100	54000	54900	55800	56700	57600	58500	59400	60300	61200	62100	63000	63900	64800	65700	66600	67500	68400	69300	70200	71100	72000	72900	73800	74700	75600	76500	77400	78300	79200	80100	81000	81900	82800	83700	84600	85500
	47	48	48	49	49	50	50	50	51	51	51	51	51	51	51	51	51	51	51	50	50	49	47	46	43	41	40	37	34	31	27	24	21	17	15	13	11	10	9	8	8	7	7	7	6	6	6	6	6	6	6	6	6	5	6	6	6	6	7	8	8	9	10	12	13	14	15	16	18	19	20	21	22	22	23	23	24	24	24	25	26	27	28	29	29	30	31	32	33	35	36	37	39	40	41	43
Pátek	0	900	1800	2700	3600	4500	5400	6300	7200	8100	9000	9900	10800	11700	12600	13500	14400	15300	16200	17100	18000	18900	19800	20700	21600	22500	23400	24300	25200	26100	27000	27900	28800	29700	30600	31500	32400	33300	34200	35100	36000	36900	37800	38700	39600	40500	41400	42300	43200	44100	45000	45900	46800	47700	48600	49500	50400	51300	52200	53100	54000	54900	55800	56700	57600	58500	59400	60300	61200	62100	63000	63900	64800	65700	66600	67500	68400	69300	70200	71100	72000	72900	73800	74700	75600	76500	77400	78300	79200	80100	81000	81900	82800	83700	84600	85500
	44	44	45	46	47	47	47	48	48	48	48	48	48	48	68	48	48	48	48	48	47	47	45	43	42	40	38	35	32	29	26	23	20	18	15	13	12	11	10	10	9	9	9	8	8	8	8	8	8	8	8	8	8	8	8	9	9	10	11	12	12	13	14	15	15	66	17	18	18	19	19	20	20	20	21	21	21	21	21	22	22	23	23	24	24	25	25	26	27	28	29	30	31	32	33	35
Sobota	0	900	1800	2700	3600	4500	5400	6300	7200	8100	9000	9900	10800	11700	12600	13500	14400	15300	16200	17100	18000	18900	19800	20700	21600	22500	23400	24300	25200	26100	27000	27900	28800	29700	30600	31500	32400	33300	34200	35100	36000	36900	37800	38700	39600	40500	41400	42300	43200	44100	45000	45900	46800	47700	48600	49500	50400	51300	52200	53100	54000	54900	55800	56700	57600	58500	59400	60300	61200	62100	63000	63900	64800	65700	66600	67500	68400	69300	70200	71100	72000	72900	73800	74700	75600	76500	77400	78300	79200	80100	81000	81900	82800	83700	84600	85500
