P&R Černý Most 2	129	50.1106056	14.5825933																																																																																									
Pondělí	0	900	1800	2700	3600	4500	5400	6300	7200	8100	9000	9900	10800	11700	12600	13500	14400	15300	16200	17100	18000	18900	19800	20700	21600	22500	23400	24300	25200	26100	27000	27900	28800	29700	30600	31500	32400	33300	34200	35100	36000	36900	37800	38700	39600	40500	41400	42300	43200	44100	45000	45900	46800	47700	48600	49500	50400	51300	52200	53100	54000	54900	55800	56700	57600	58500	59400	60300	61200	62100	63000	63900	64800	65700	66600	67500	68400	69300	70200	71100	72000	72900	73800	74700	75600	76500	77400	78300	79200	80100	81000	81900	82800	83700	84600	85500
	104	104	105	105	105	105	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	106	105	105	104	102	101	100	99	98	97	95	94	91	89	87	84	80	77	74	71	67	65	63	62	62	122	60	60	60	60	59	59	59	59	60	60	60	61	61	61	62	62	63	64	65	67	69	70	71	73	74	76	78	79	81	83	85	87	89	91	92	94	95	95	96	97	98	98	99	99	100	100	101	101	102
Úterý	0	900	1800	2700	3600	4500	5400	6300	7200	8100	9000	9900	10800	11700	12600	13500	14400	15300	16200	17100	18000	18900	19800	20700	21600	22500	23400	24300	25200	26100	27000	27900	28800	29700	30600	31500	32400	33300	34200	35100	36000	36900	37800	38700	39600	40500	41400	42300	43200	44100	45000	45900	46800	47700	48600	49500	50400	51300	52200	53100	54000	54900	55800	56700	57600	58500	59400	60300	61200	62100	63000	63900	64800	65700	66600	67500	68400	69300	70200	71100	72000	72900	73800	74700	75600	76500	77400	78300	79200	80100	81000	81900	82800	83700	84600	85500
	102	102	103	103	103	104	104	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	104	104	103	101	100	98	97	96	94	93	91	89	86	82	78	73	68	65	60	56	53	51	50	49	49	49	48	47	48	48	48	48	48	48	49	49	50	51	52	53	54	55	57	58	60	62	64	65	67	69	71	73	75	78	80	83	85	87	89	91	92	93	94	95	96	97	97	98	99	99	100	100	101	102
Středa	0	900	1800	2700	3600	4500	5400	6300	7200	8100	9000	9900	10800	11700	12600	13500	14400	15300	16200	17100	18000	18900	19800	20700	21600	22500	23400	24300	25200	26100	27000	27900	28800	29700	30600	31500	32400	33300	34200	35100	36000	36900	37800	38700	39600	40500	41400	42300	43200	44100	45000	45900	46800	47700	48600	49500	50400	51300	52200	53100	54000	54900	55800	56700	57600	58500	59400	60300	61200	62100	63000	63900	64800	65700	66600	67500	68400	69300	70200	71100	72000	72900	73800	74700	75600	76500	77400	78300	79200	80100	81000	81900	82800	83700	84600	85500
	102	103	103	103	104	104	104	105	105	105	105	105	105	105	104	104	104	104	104	104	104	104	104	104	103	102	99	98	97	94	93	91	89	87	85	82	77	73	70	66	61	57	55	53	51	50	50	50	49	49	49	49	49	49	49	49	49	50	50	51	52	53	54	55	56	58	59	61	63	64	66	68	70	71	73	75	77	79	82	84	86	87	89	90	91	92	93	94	94	95	96	97	98	99	99	100
Čtvrtek	0	900	1800	2700	3600	4500	5400	6300	7200	8100	9000	9900	10800	11700	12600	13500	14400	15300	16200	17100	18000	18900	19800	20700	21600	22500	23400	24300	25200	26100	27000	27900	28800	29700	30600	31500	32400	33300	34200	35100	36000	36900	37800	38700	39600	40500	41400	42300	43200	44100	45000	45900	46800	47700	48600	49500	50400	51300	52200	53100	54000	54900	55800	56700	57600	58500	59400	60300	61200	62100	63000	63900	64800	65700	66600	67500	68400	69300	70200	71100	72000	72900	73800	74700	75600	76500	77400	78300	79200	80100	81000	81900	82800	83700	84600	85500
	101	102	102	103	103	103	104	104	105	105	105	105	105	104	104	104	104	104	104	104	104	104	104	103	102	101	99	98	96	95	93	91	90	87	85	82	78	73	69	66	61	128	57	55	54	52	53	52	51	51	51	51	51	51	51	51	51	52	52	53	53	54	55	126	57	59	60	62	63	65	66	68	69	71	73	75	77	79	81	82	85	86	87	89	90	91	91	92	93	94	95	95	96	97	98	99
Pátek	0	900	1800	2700	3600	4500	5400	6300	7200	8100	9000	9900	10800	11700	12600	13500	14400	15300	16200	17100	18000	18900	19800	20700	21600	22500	23400	24300	25200	26100	27000	27900	28800	29700	30600	31500	32400	33300	34200	35100	36000	36900	37800	38700	39600	40500	41400	42300	43200	44100	45000	45900	46800	47700	48600	49500	50400	51300	52200	53100	54000	54900	55800	56700	57600	58500	59400	60300	61200	62100	63000	63900	64800	65700	66600	67500	68400	69300	70200	71100	72000	72900	73800	74700	75600	76500	77400	78300	79200	80100	81000	81900	82800	83700	84600	85500
	100	100	101	101	101	102	102	103	103	103	103	103	103	103	103	103	103	103	103	103	103	103	103	102	101	99	99	98	97	96	95	94	92	90	88	86	84	81	79	76	73	71	69	67	66	66	65	64	64	64	64	63	63	63	63	63	63	63	64	65	66	67	67	68	69	70	71	72	73	73	74	75	76	77	78	79	80	81	82	84	85	86	87	88	88	89	89	90	91	91	92	93	94	94	95	96
Sobota	0	900	1800	2700	3600	4500	5400	6300	7200	8100	9000	9900	10800	11700	12600	13500	14400	15300	16200	17100	18000	18900	19800	20700	21600	22500	23400	24300	25200	26100	27000	27900	28800	29700	30600	31500	32400	33300	34200	35100	36000	36900	37800	38700	39600	40500	41400	42300	43200	44100	45000	45900	46800	47700	48600	49500	50400	51300	52200	53100	54000	54900	55800	56700	57600	58500	59400	60300	61200	62100	63000	63900	64800	65700	66600	67500	68400	69300	70200	71100	72000	72900	73800	74700	75600	76500	77400	78300	79200	80100	81000	81900	82800	83700	84600	85500
	97	98	98	99	99	100	101	101	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	102	101	101	101	101	101	100	100	99	99	98	97	97	96	95	94	93	92	91	90	89	88	87	86	85	85	83	83	82	81	80	79	79	78	78	77	77	77	77	77	77	77	77	77	78	78	78	79	79	80	81	82	82	83	84	85	86	87	88	88	89	90	90	91	92	92	93	94	95	96	97
Neděle 	0	900	1800	2700	3600	4500	5400	6300	7200	8100	9000	9900	10800	11700	12600	13500	14400	15300	16200	17100	18000	18900	19800	20700	21600	22500	23400	24300	25200	26100	27000	27900	28800	29700	30600	31500	32400	33300	34200	35100	36000	36900	37800	38700	39600	40500	41400	42300	43200	44100	45000	45900	46800	47700	48600	49500	50400	51300	52200	53100	54000	54900	55800	56700	57600	58500	59400	60300	61200	62100	63000	63900	64800	65700	66600	67500	68400	69300	70200	71100	72000	72900	73800	74700	75600	76500	77400	78300	79200	80100	81000	81900	82800	83700	84600	85500
	98	99	100	100	100	101	102	102	103	103	103	103	103	103	103	103	103	103	103	103	103	103	103	103	102	102	102	102	102	102	102	101	101	101	100	100	100	100	99	99	98	98	97	97	97	96	96	96	95	95	95	94	94	94	94	93	93	93	93	93	93	93	94	94	94	94	94	94	95	95	95	95	96	96	96	97	97	98	97	98	98	99	99	100	100	100	100	101	101	101	101	102	102	103	103	103
