P&R Chodov	653	14.4919892	50.0320781																																																																																									
Pondělí	0	900	1800	2700	3600	4500	5400	6300	7200	8100	9000	9900	10800	11700	12600	13500	14400	15300	16200	17100	18000	18900	19800	20700	21600	22500	23400	24300	25200	26100	27000	27900	28800	29700	30600	31500	32400	33300	34200	35100	36000	36900	37800	38700	39600	40500	41400	42300	43200	44100	45000	45900	46800	47700	48600	49500	50400	51300	52200	53100	54000	54900	55800	56700	57600	58500	59400	60300	61200	62100	63000	63900	64800	65700	66600	67500	68400	69300	70200	71100	72000	72900	73800	74700	75600	76500	77400	78300	79200	80100	81000	81900	82800	83700	84600	85500
	645	647	648	648	649	649	649	649	649	646	650	650	650	650	650	650	650	650	649	649	648	647	644	640	633	626	615	601	582	561	537	510	478	445	410	373	342	314	285	262	244	225	211	202	191	184	180	177	173	172	168	169	168	169	168	171	172	173	175	179	182	188	200	206	218	232	245	260	276	296	315	335	354	373	393	412	430	446	461	476	488	502	513	524	533	552	566	575	582	590	597	652	607	614	616	623
Úterý	0	900	1800	2700	3600	4500	5400	6300	7200	8100	9000	9900	10800	11700	12600	13500	14400	15300	16200	17100	18000	18900	19800	20700	21600	22500	23400	24300	25200	26100	27000	27900	28800	29700	30600	31500	32400	33300	34200	35100	36000	36900	37800	38700	39600	40500	41400	42300	43200	44100	45000	45900	46800	47700	48600	49500	50400	51300	52200	53100	54000	54900	55800	56700	57600	58500	59400	60300	61200	62100	63000	63900	64800	65700	66600	67500	68400	69300	70200	71100	72000	72900	73800	74700	75600	76500	77400	78300	79200	80100	81000	81900	82800	83700	84600	85500
	632	643	644	645	646	647	648	648	649	650	650	650	650	650	650	650	650	650	649	649	648	647	644	640	633	626	614	599	580	555	530	501	468	430	389	354	318	287	255	232	210	195	178	162	152	144	140	137	134	131	128	129	127	127	129	128	131	633	136	142	147	153	164	177	186	204	217	234	254	271	296	315	336	354	374	395	412	630	445	464	477	490	504	515	527	545	561	651	579	589	597	653	609	617	622	626
Středa	0	900	1800	2700	3600	4500	5400	6300	7200	8100	9000	9900	10800	11700	12600	13500	14400	15300	16200	17100	18000	18900	19800	20700	21600	22500	23400	24300	25200	26100	27000	27900	28800	29700	30600	31500	32400	33300	34200	35100	36000	36900	37800	38700	39600	40500	41400	42300	43200	44100	45000	45900	46800	47700	48600	49500	50400	51300	52200	53100	54000	54900	55800	56700	57600	58500	59400	60300	61200	62100	63000	63900	64800	65700	66600	67500	68400	69300	70200	71100	72000	72900	73800	74700	75600	76500	77400	78300	79200	80100	81000	81900	82800	83700	84600	85500
	632	639	641	642	644	646	646	647	648	650	650	650	650	650	650	650	646	650	650	649	648	647	644	640	634	626	615	600	579	557	528	500	467	427	390	350	314	279	253	226	207	189	174	159	148	142	137	134	134	128	128	126	127	127	127	128	130	131	135	141	146	153	163	172	184	197	212	229	245	266	284	608	327	349	369	390	411	428	442	461	475	488	501	513	523	542	558	570	578	588	597	604	610	618	623	627
Čtvrtek	0	900	1800	2700	3600	4500	5400	6300	7200	8100	9000	9900	10800	11700	12600	13500	14400	15300	16200	17100	18000	18900	19800	20700	21600	22500	23400	24300	25200	26100	27000	27900	28800	29700	30600	31500	32400	33300	34200	35100	36000	36900	37800	38700	39600	40500	41400	42300	43200	44100	45000	45900	46800	47700	48600	49500	50400	51300	52200	53100	54000	54900	55800	56700	57600	58500	59400	60300	61200	62100	63000	63900	64800	65700	66600	67500	68400	69300	70200	71100	72000	72900	73800	74700	75600	76500	77400	78300	79200	80100	81000	81900	82800	83700	84600	85500
	634	641	642	643	645	647	647	648	648	650	649	649	650	650	650	650	650	649	649	649	648	647	642	641	636	629	618	603	585	562	538	510	477	441	402	367	333	303	274	251	229	212	197	183	175	169	164	159	156	153	151	150	150	149	150	152	153	155	156	161	167	175	186	196	207	219	236	253	267	285	302	322	339	357	380	395	413	427	443	458	472	483	496	506	517	535	551	561	651	581	591	597	603	610	617	621
Pátek	0	900	1800	2700	3600	4500	5400	6300	7200	8100	9000	9900	10800	11700	12600	13500	14400	15300	16200	17100	18000	18900	19800	20700	21600	22500	23400	24300	25200	26100	27000	27900	28800	29700	30600	31500	32400	33300	34200	35100	36000	36900	37800	38700	39600	40500	41400	42300	43200	44100	45000	45900	46800	47700	48600	49500	50400	51300	52200	53100	54000	54900	55800	56700	57600	58500	59400	60300	61200	62100	63000	63900	64800	65700	66600	67500	68400	69300	70200	71100	72000	72900	73800	74700	75600	76500	77400	78300	79200	80100	81000	81900	82800	83700	84600	85500
	628	639	640	642	653	646	647	647	653	650	650	650	650	650	650	650	650	650	649	649	648	648	646	642	637	632	622	611	595	578	555	535	507	479	450	421	397	372	347	327	310	294	281	271	261	256	251	246	242	239	238	240	237	238	239	640	244	248	252	259	268	276	286	295	303	316	329	337	352	366	380	391	403	414	428	441	452	464	476	488	498	509	517	525	533	550	563	569	579	590	597	603	609	617	622	627
Sobota	0	900	1800	2700	3600	4500	5400	6300	7200	8100	9000	9900	10800	11700	12600	13500	14400	15300	16200	17100	18000	18900	19800	20700	21600	22500	23400	24300	25200	26100	27000	27900	28800	29700	30600	31500	32400	33300	34200	35100	36000	36900	37800	38700	39600	40500	41400	42300	43200	44100	45000	45900	46800	47700	48600	49500	50400	51300	52200	53100	54000	54900	55800	56700	57600	58500	59400	60300	61200	62100	63000	63900	64800	65700	66600	67500	68400	69300	70200	71100	72000	72900	73800	74700	75600	76500	77400	78300	79200	80100	81000	81900	82800	83700	84600	85500
