P&R Rajská zahrada	88	14.5622422	50.1068211																																																																																									
Pondělí	0	900	1800	2700	3600	4500	5400	6300	7200	8100	9000	9900	10800	11700	12600	13500	14400	15300	16200	17100	18000	18900	19800	20700	21600	22500	23400	24300	25200	26100	27000	27900	28800	29700	30600	31500	32400	33300	34200	35100	36000	36900	37800	38700	39600	40500	41400	42300	43200	44100	45000	45900	46800	47700	48600	49500	50400	51300	52200	53100	54000	54900	55800	56700	57600	58500	59400	60300	61200	62100	63000	63900	64800	65700	66600	67500	68400	69300	70200	71100	72000	72900	73800	74700	75600	76500	77400	78300	79200	80100	81000	81900	82800	83700	84600	85500
	71	71	71	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	71	70	69	68	65	61	57	52	48	43	38	33	28	25	22	20	17	16	16	15	15	15	15	15	15	15	15	15	15	16	16	16	16	16	17	17	18	18	19	20	22	24	25	28	31	33	35	38	41	43	45	47	49	51	53	54	56	57	58	59	60	61	61	62	63	64	64	65	66	67	68	68	69
Úterý	0	900	1800	2700	3600	4500	5400	6300	7200	8100	9000	9900	10800	11700	12600	13500	14400	15300	16200	17100	18000	18900	19800	20700	21600	22500	23400	24300	25200	26100	27000	27900	28800	29700	30600	31500	32400	33300	34200	35100	36000	36900	37800	38700	39600	40500	41400	42300	43200	44100	45000	45900	46800	47700	48600	49500	50400	51300	52200	53100	54000	54900	55800	56700	57600	58500	59400	60300	61200	62100	63000	63900	64800	65700	66600	67500	68400	69300	70200	71100	72000	72900	73800	74700	75600	76500	77400	78300	79200	80100	81000	81900	82800	83700	84600	85500
	70	70	70	70	70	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	70	70	69	68	66	63	59	55	50	45	39	34	29	24	20	18	15	12	11	10	10	10	10	9	9	9	9	9	9	10	10	10	10	10	11	11	12	13	13	15	16	18	20	22	24	27	30	33	36	39	41	43	46	48	50	52	54	55	56	57	58	59	60	61	61	62	63	64	65	66	67	68	68	69
Středa	0	900	1800	2700	3600	4500	5400	6300	7200	8100	9000	9900	10800	11700	12600	13500	14400	15300	16200	17100	18000	18900	19800	20700	21600	22500	23400	24300	25200	26100	27000	27900	28800	29700	30600	31500	32400	33300	34200	35100	36000	36900	37800	38700	39600	40500	41400	42300	43200	44100	45000	45900	46800	47700	48600	49500	50400	51300	52200	53100	54000	54900	55800	56700	57600	58500	59400	60300	61200	62100	63000	63900	64800	65700	66600	67500	68400	69300	70200	71100	72000	72900	73800	74700	75600	76500	77400	78300	79200	80100	81000	81900	82800	83700	84600	85500
	69	70	70	70	71	71	71	71	81	71	71	71	71	71	71	71	71	71	71	71	71	71	70	70	69	68	66	64	60	56	52	46	41	35	30	26	22	19	17	14	12	12	11	11	11	11	11	11	10	11	11	11	11	11	12	12	12	13	14	14	15	16	18	19	21	22	25	27	30	32	35	38	40	42	44	47	49	51	52	54	55	56	57	58	59	60	60	61	62	63	64	65	66	67	68	69
Čtvrtek	0	900	1800	2700	3600	4500	5400	6300	7200	8100	9000	9900	10800	11700	12600	13500	14400	15300	16200	17100	18000	18900	19800	20700	21600	22500	23400	24300	25200	26100	27000	27900	28800	29700	30600	31500	32400	33300	34200	35100	36000	36900	37800	38700	39600	40500	41400	42300	43200	44100	45000	45900	46800	47700	48600	49500	50400	51300	52200	53100	54000	54900	55800	56700	57600	58500	59400	60300	61200	62100	63000	63900	64800	65700	66600	67500	68400	69300	70200	71100	72000	72900	73800	74700	75600	76500	77400	78300	79200	80100	81000	81900	82800	83700	84600	85500
	69	70	70	70	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	70	69	69	67	65	62	59	54	49	44	39	34	29	25	22	20	17	16	15	15	14	14	14	14	14	14	14	14	14	14	15	15	15	15	16	16	17	18	19	21	22	24	25	27	30	32	34	36	39	41	43	45	47	49	51	52	53	54	55	56	57	58	58	59	60	61	62	63	64	65	66	67	68
Pátek	0	900	1800	2700	3600	4500	5400	6300	7200	8100	9000	9900	10800	11700	12600	13500	14400	15300	16200	17100	18000	18900	19800	20700	21600	22500	23400	24300	25200	26100	27000	27900	28800	29700	30600	31500	32400	33300	34200	35100	36000	36900	37800	38700	39600	40500	41400	42300	43200	44100	45000	45900	46800	47700	48600	49500	50400	51300	52200	53100	54000	54900	55800	56700	57600	58500	59400	60300	61200	62100	63000	63900	64800	65700	66600	67500	68400	69300	70200	71100	72000	72900	73800	74700	75600	76500	77400	78300	79200	80100	81000	81900	82800	83700	84600	85500
	69	69	70	70	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	70	69	68	66	64	62	59	56	52	49	44	41	38	35	33	31	29	29	28	28	27	28	27	27	87	27	27	28	28	28	28	29	30	30	31	32	33	34	35	37	38	40	41	42	44	45	47	48	50	51	52	53	54	55	56	57	58	59	59	60	60	61	61	62	63	63	64	65	66	67	68	69
Sobota	0	900	1800	2700	3600	4500	5400	6300	7200	8100	9000	9900	10800	11700	12600	13500	14400	15300	16200	17100	18000	18900	19800	20700	21600	22500	23400	24300	25200	26100	27000	27900	28800	29700	30600	31500	32400	33300	34200	35100	36000	36900	37800	38700	39600	40500	41400	42300	43200	44100	45000	45900	46800	47700	48600	49500	50400	51300	52200	53100	54000	54900	55800	56700	57600	58500	59400	60300	61200	62100	63000	63900	64800	65700	66600	67500	68400	69300	70200	71100	72000	72900	73800	74700	75600	76500	77400	78300	79200	80100	81000	81900	82800	83700	84600	85500
	69	70	70	71	71	71	71	71	71	71	72	71	71	71	71	71	71	71	71	71	71	71	71	71	72	72	72	72	72	72	72	71	71	71	71	70	70	69	69	68	68	67	67	66	65	65	65	64	64	63	63	62	62	61	61	60	60	60	60	59	59	59	59	59	59	59	59	59	59	59	59	60	60	60	60	61	61	61	61	62	62	62	63	63	63	64	64	64	65	66	66	67	68	69	70	70
Neděle 	0	900	1800	2700	3600	4500	5400	6300	7200	8100	9000	9900	10800	11700	12600	13500	14400	15300	16200	17100	18000	18900	19800	20700	21600	22500	23400	24300	25200	26100	27000	27900	28800	29700	30600	31500	32400	33300	34200	35100	36000	36900	37800	38700	39600	40500	41400	42300	43200	44100	45000	45900	46800	47700	48600	49500	50400	51300	52200	53100	54000	54900	55800	56700	57600	58500	59400	60300	61200	62100	63000	63900	64800	65700	66600	67500	68400	69300	70200	71100	72000	72900	73800	74700	75600	76500	77400	78300	79200	80100	81000	81900	82800	83700	84600	85500
	71	71	72	72	72	72	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	72	72	72	72	72	71	71	71	71	71	71	70	70	70	70	70	69	69	69	69	68	68	68	67	67	67	67	67	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	67	67	67	67	67	67	67	67	68	68	68	68	69	69	70	70	71
