P&R Skalka 1	107	50.0696306	14.5073919																																																																																									
Pondělí	0	900	1800	2700	3600	4500	5400	6300	7200	8100	9000	9900	10800	11700	12600	13500	14400	15300	16200	17100	18000	18900	19800	20700	21600	22500	23400	24300	25200	26100	27000	27900	28800	29700	30600	31500	32400	33300	34200	35100	36000	36900	37800	38700	39600	40500	41400	42300	43200	44100	45000	45900	46800	47700	48600	49500	50400	51300	52200	53100	54000	54900	55800	56700	57600	58500	59400	60300	61200	62100	63000	63900	64800	65700	66600	67500	68400	69300	70200	71100	72000	72900	73800	74700	75600	76500	77400	78300	79200	80100	81000	81900	82800	83700	84600	85500
	52	52	52	53	53	53	53	53	54	53	53	53	53	53	53	53	53	53	53	53	53	52	52	52	52	52	51	51	50	49	48	46	45	44	42	40	39	37	35	34	33	32	31	30	29	29	28	28	28	28	27	27	27	27	27	27	27	27	27	27	28	28	29	29	30	30	31	32	33	34	35	36	37	38	39	41	41	42	43	44	45	45	45	46	47	47	48	48	48	48	49	49	50	50	50	50
Úterý	0	900	1800	2700	3600	4500	5400	6300	7200	8100	9000	9900	10800	11700	12600	13500	14400	15300	16200	17100	18000	18900	19800	20700	21600	22500	23400	24300	25200	26100	27000	27900	28800	29700	30600	31500	32400	33300	34200	35100	36000	36900	37800	38700	39600	40500	41400	42300	43200	44100	45000	45900	46800	47700	48600	49500	50400	51300	52200	53100	54000	54900	55800	56700	57600	58500	59400	60300	61200	62100	63000	63900	64800	65700	66600	67500	68400	69300	70200	71100	72000	72900	73800	74700	75600	76500	77400	78300	79200	80100	81000	81900	82800	83700	84600	85500
	50	50	51	51	51	51	51	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	51	51	50	50	49	48	46	44	42	40	38	36	34	32	30	29	27	26	25	25	24	23	23	23	23	22	22	22	22	22	22	22	22	22	22	23	24	24	25	26	26	27	28	29	31	32	33	35	36	37	38	39	40	41	42	43	44	45	46	47	47	47	48	48	49	49	50	50	50	50	50
Středa	0	900	1800	2700	3600	4500	5400	6300	7200	8100	9000	9900	10800	11700	12600	13500	14400	15300	16200	17100	18000	18900	19800	20700	21600	22500	23400	24300	25200	26100	27000	27900	28800	29700	30600	31500	32400	33300	34200	35100	36000	36900	37800	38700	39600	40500	41400	42300	43200	44100	45000	45900	46800	47700	48600	49500	50400	51300	52200	53100	54000	54900	55800	56700	57600	58500	59400	60300	61200	62100	63000	63900	64800	65700	66600	67500	68400	69300	70200	71100	72000	72900	73800	74700	75600	76500	77400	78300	79200	80100	81000	81900	82800	83700	84600	85500
	51	51	51	51	51	51	51	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	51	51	51	51	50	50	49	48	47	46	44	43	40	39	37	35	34	32	31	29	28	27	26	25	24	24	24	23	23	23	23	23	23	23	23	24	84	24	25	26	26	26	27	28	29	30	31	32	33	35	36	37	38	39	40	41	42	43	44	44	45	46	46	47	47	48	48	49	49	50	50	50	50	51
Čtvrtek	0	900	1800	2700	3600	4500	5400	6300	7200	8100	9000	9900	10800	11700	12600	13500	14400	15300	16200	17100	18000	18900	19800	20700	21600	22500	23400	24300	25200	26100	27000	27900	28800	29700	30600	31500	32400	33300	34200	35100	36000	36900	37800	38700	39600	40500	41400	42300	43200	44100	45000	45900	46800	47700	48600	49500	50400	51300	52200	53100	54000	54900	55800	56700	57600	58500	59400	60300	61200	62100	63000	63900	64800	65700	66600	67500	68400	69300	70200	71100	72000	72900	73800	74700	75600	76500	77400	78300	79200	80100	81000	81900	82800	83700	84600	85500
	51	51	51	51	82	52	52	53	53	53	53	53	52	52	52	52	52	52	52	51	51	51	51	51	51	51	50	50	49	48	47	46	44	43	41	39	37	36	34	33	31	30	30	29	28	27	27	26	26	26	26	26	26	26	26	26	26	26	26	26	27	27	27	28	29	29	30	31	32	33	34	35	36	37	38	39	39	40	41	42	43	43	44	45	45	46	46	47	47	48	48	48	49	49	50	50
Pátek	0	900	1800	2700	3600	4500	5400	6300	7200	8100	9000	9900	10800	11700	12600	13500	14400	15300	16200	17100	18000	18900	19800	20700	21600	22500	23400	24300	25200	26100	27000	27900	28800	29700	30600	31500	32400	33300	34200	35100	36000	36900	37800	38700	39600	40500	41400	42300	43200	44100	45000	45900	46800	47700	48600	49500	50400	51300	52200	53100	54000	54900	55800	56700	57600	58500	59400	60300	61200	62100	63000	63900	64800	65700	66600	67500	68400	69300	70200	71100	72000	72900	73800	74700	75600	76500	77400	78300	79200	80100	81000	81900	82800	83700	84600	85500
	50	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	50	50	51	51	50	50	50	49	49	48	47	47	45	44	42	40	39	38	36	35	34	33	32	31	81	31	31	30	30	30	30	30	30	30	30	30	30	30	31	32	32	33	33	34	34	35	36	37	38	39	40	41	42	42	43	44	44	45	45	46	46	47	47	47	47	48	48	48	48	48	49	49	49	49	50	50
Sobota	0	900	1800	2700	3600	4500	5400	6300	7200	8100	9000	9900	10800	11700	12600	13500	14400	15300	16200	17100	18000	18900	19800	20700	21600	22500	23400	24300	25200	26100	27000	27900	28800	29700	30600	31500	32400	33300	34200	35100	36000	36900	37800	38700	39600	40500	41400	42300	43200	44100	45000	45900	46800	47700	48600	49500	50400	51300	52200	53100	54000	54900	55800	56700	57600	58500	59400	60300	61200	62100	63000	63900	64800	65700	66600	67500	68400	69300	70200	71100	72000	72900	73800	74700	75600	76500	77400	78300	79200	80100	81000	81900	82800	83700	84600	85500
