P&R Zličín 1	86	50.0545631	14.2897217																																																																																									
Pondělí	0	900	1800	2700	3600	4500	5400	6300	7200	8100	9000	9900	10800	11700	12600	13500	14400	15300	16200	17100	18000	18900	19800	20700	21600	22500	23400	24300	25200	26100	27000	27900	28800	29700	30600	31500	32400	33300	34200	35100	36000	36900	37800	38700	39600	40500	41400	42300	43200	44100	45000	45900	46800	47700	48600	49500	50400	51300	52200	53100	54000	54900	55800	56700	57600	58500	59400	60300	61200	62100	63000	63900	64800	65700	66600	67500	68400	69300	70200	71100	72000	72900	73800	74700	75600	76500	77400	78300	79200	80100	81000	81900	82800	83700	84600	85500
	72	73	73	74	74	74	74	75	75	75	75	75	75	75	75	75	75	75	75	74	73	71	67	64	59	53	46	40	32	25	20	16	13	10	7	6	6	5	5	5	5	5	5	5	5	4	4	4	4	5	5	5	5	5	5	6	6	6	7	7	8	10	12	14	16	18	21	24	27	29	32	35	38	40	43	45	47	49	51	52	54	56	57	58	60	61	62	64	65	66	68	69	70	71	72	73
Úterý	0	900	1800	2700	3600	4500	5400	6300	7200	8100	9000	9900	10800	11700	12600	13500	14400	15300	16200	17100	18000	18900	19800	20700	21600	22500	23400	24300	25200	26100	27000	27900	28800	29700	30600	31500	32400	33300	34200	35100	36000	36900	37800	38700	39600	40500	41400	42300	43200	44100	45000	45900	46800	47700	48600	49500	50400	51300	52200	53100	54000	54900	55800	56700	57600	58500	59400	60300	61200	62100	63000	63900	64800	65700	66600	67500	68400	69300	70200	71100	72000	72900	73800	74700	75600	76500	77400	78300	79200	80100	81000	81900	82800	83700	84600	85500
	74	75	75	75	75	76	76	76	76	76	76	76	77	76	76	76	76	76	76	75	74	71	68	64	60	53	46	39	31	24	18	14	11	7	5	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	4	4	4	5	7	9	11	13	16	18	21	24	27	30	32	35	36	38	40	42	44	46	47	49	51	52	54	55	56	58	59	60	62	64	66	67	69	70	72	73
Středa	0	900	1800	2700	3600	4500	5400	6300	7200	8100	9000	9900	10800	11700	12600	13500	14400	15300	16200	17100	18000	18900	19800	20700	21600	22500	23400	24300	25200	26100	27000	27900	28800	29700	30600	31500	32400	33300	34200	35100	36000	36900	37800	38700	39600	40500	41400	42300	43200	44100	45000	45900	46800	47700	48600	49500	50400	51300	52200	53100	54000	54900	55800	56700	57600	58500	59400	60300	61200	62100	63000	63900	64800	65700	66600	67500	68400	69300	70200	71100	72000	72900	73800	74700	75600	76500	77400	78300	79200	80100	81000	81900	82800	83700	84600	85500
	74	74	75	75	76	76	76	86	77	77	77	77	77	77	77	77	77	77	76	76	75	72	69	65	61	53	47	40	32	25	19	15	12	9	6	4	4	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	4	5	7	9	11	13	16	18	20	24	26	29	31	33	35	37	39	41	43	44	46	48	49	51	52	53	55	56	58	59	61	63	65	67	68	70	71
Čtvrtek	0	900	1800	2700	3600	4500	5400	6300	7200	8100	9000	9900	10800	11700	12600	13500	14400	15300	16200	17100	18000	18900	19800	20700	21600	22500	23400	24300	25200	26100	27000	27900	28800	29700	30600	31500	32400	33300	34200	35100	36000	36900	37800	38700	39600	40500	41400	42300	43200	44100	45000	45900	46800	47700	48600	49500	50400	51300	52200	53100	54000	54900	55800	56700	57600	58500	59400	60300	61200	62100	63000	63900	64800	65700	66600	67500	68400	69300	70200	71100	72000	72900	73800	74700	75600	76500	77400	78300	79200	80100	81000	81900	82800	83700	84600	85500
	72	73	74	74	75	75	75	76	76	76	76	76	76	76	76	76	76	76	76	75	74	71	68	65	60	54	47	42	35	27	21	16	12	9	6	5	4	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	3	3	3	3	3	4	4	5	6	8	10	12	15	17	19	21	24	26	28	30	32	33	35	36	38	39	41	42	44	45	46	48	49	50	52	54	56	57	59	61	63	65	67	69
Pátek	0	900	1800	2700	3600	4500	5400	6300	7200	8100	9000	9900	10800	11700	12600	13500	14400	15300	16200	17100	18000	18900	19800	20700	21600	22500	23400	24300	25200	26100	27000	27900	28800	29700	30600	31500	32400	33300	34200	35100	36000	36900	37800	38700	39600	40500	41400	42300	43200	44100	45000	45900	46800	47700	48600	49500	50400	51300	52200	53100	54000	54900	55800	56700	57600	58500	59400	60300	61200	62100	63000	63900	64800	65700	66600	67500	68400	69300	70200	71100	72000	72900	73800	74700	75600	76500	77400	78300	79200	80100	81000	81900	82800	83700	84600	85500
	70	71	72	72	73	74	74	74	74	74	74	74	74	74	74	74	74	74	74	73	72	69	67	63	60	54	48	43	38	31	25	21	17	13	10	8	7	6	6	5	5	4	4	4	4	4	4	4	4	4	4	4	4	4	5	5	6	6	7	9	11	13	15	16	18	20	22	24	26	27	28	29	30	31	32	33	33	35	36	37	38	39	40	41	42	43	45	47	48	50	52	54	57	58	60	62
Sobota	0	900	1800	2700	3600	4500	5400	6300	7200	8100	9000	9900	10800	11700	12600	13500	14400	15300	16200	17100	18000	18900	19800	20700	21600	22500	23400	24300	25200	26100	27000	27900	28800	29700	30600	31500	32400	33300	34200	35100	36000	36900	37800	38700	39600	40500	41400	42300	43200	44100	45000	45900	46800	47700	48600	49500	50400	51300	52200	53100	54000	54900	55800	56700	57600	58500	59400	60300	61200	62100	63000	63900	64800	65700	66600	67500	68400	69300	70200	71100	72000	72900	73800	74700	75600	76500	77400	78300	79200	80100	81000	81900	82800	83700	84600	85500
