P&R Depo Hostivař	104	50.0762417	14.5181900																																																																																									
Pondělí	0	900	1800	2700	3600	4500	5400	6300	7200	8100	9000	9900	10800	11700	12600	13500	14400	15300	16200	17100	18000	18900	19800	20700	21600	22500	23400	24300	25200	26100	27000	27900	28800	29700	30600	31500	32400	33300	34200	35100	36000	36900	37800	38700	39600	40500	41400	42300	43200	44100	45000	45900	46800	47700	48600	49500	50400	51300	52200	53100	54000	54900	55800	56700	57600	58500	59400	60300	61200	62100	63000	63900	64800	65700	66600	67500	68400	69300	70200	71100	72000	72900	73800	74700	75600	76500	77400	78300	79200	80100	81000	81900	82800	83700	84600	85500
	97	97	98	98	98	98	98	98	98	99	99	99	99	99	99	99	99	98	98	98	98	98	97	97	95	93	90	86	83	78	72	68	62	57	51	46	42	39	36	33	31	29	27	26	25	24	23	22	22	21	21	21	21	21	20	21	21	22	22	24	25	26	28	30	32	35	38	41	44	47	50	53	56	58	61	64	66	68	70	72	74	76	78	79	81	82	84	85	87	88	90	91	92	93	94	95
Úterý	0	900	1800	2700	3600	4500	5400	6300	7200	8100	9000	9900	10800	11700	12600	13500	14400	15300	16200	17100	18000	18900	19800	20700	21600	22500	23400	24300	25200	26100	27000	27900	28800	29700	30600	31500	32400	33300	34200	35100	36000	36900	37800	38700	39600	40500	41400	42300	43200	44100	45000	45900	46800	47700	48600	49500	50400	51300	52200	53100	54000	54900	55800	56700	57600	58500	59400	60300	61200	62100	63000	63900	64800	65700	66600	67500	68400	69300	70200	71100	72000	72900	73800	74700	75600	76500	77400	78300	79200	80100	81000	81900	82800	83700	84600	85500
	95	96	96	96	97	97	97	97	97	98	98	98	98	98	98	98	97	97	97	97	97	97	96	96	94	92	88	84	80	75	70	64	58	52	46	41	37	33	30	27	24	22	20	18	18	17	16	15	15	15	15	15	15	15	15	15	16	16	17	18	20	21	23	25	27	30	33	37	40	42	45	48	51	53	56	99	61	63	65	67	70	71	73	75	77	79	81	82	84	86	88	89	90	91	92	93
Středa	0	900	1800	2700	3600	4500	5400	6300	7200	8100	9000	9900	10800	11700	12600	13500	14400	15300	16200	17100	18000	18900	19800	20700	21600	22500	23400	24300	25200	26100	27000	27900	28800	29700	30600	31500	32400	33300	34200	35100	36000	36900	37800	38700	39600	40500	41400	42300	43200	44100	45000	45900	46800	47700	48600	49500	50400	51300	52200	53100	54000	54900	55800	56700	57600	58500	59400	60300	61200	62100	63000	63900	64800	65700	66600	67500	68400	69300	70200	71100	72000	72900	73800	74700	75600	76500	77400	78300	79200	80100	81000	81900	82800	83700	84600	85500
	94	95	95	96	96	96	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97	97	96	95	94	92	89	85	81	76	71	65	59	53	47	42	38	34	31	28	26	24	22	20	19	19	18	18	17	17	17	17	17	17	17	18	18	19	19	21	22	24	25	27	29	32	34	38	40	43	46	49	51	54	56	59	61	63	65	67	69	71	73	75	76	78	80	82	84	85	87	89	90	91	92	93
Čtvrtek	0	900	1800	2700	3600	4500	5400	6300	7200	8100	9000	9900	10800	11700	12600	13500	14400	15300	16200	17100	18000	18900	19800	20700	21600	22500	23400	24300	25200	26100	27000	27900	28800	29700	30600	31500	32400	33300	34200	35100	36000	36900	37800	38700	39600	40500	41400	42300	43200	44100	45000	45900	46800	47700	48600	49500	50400	51300	52200	53100	54000	54900	55800	56700	57600	58500	59400	60300	61200	62100	63000	63900	64800	65700	66600	67500	68400	69300	70200	71100	72000	72900	73800	74700	75600	76500	77400	78300	79200	80100	81000	81900	82800	83700	84600	85500
	94	94	95	95	96	96	96	96	97	97	97	97	97	97	97	97	97	97	97	104	97	96	96	95	94	91	88	84	81	76	71	65	59	54	49	45	41	37	34	31	29	27	25	23	22	21	20	20	19	19	19	19	19	19	19	20	20	21	21	23	24	26	27	29	31	34	36	39	42	44	46	49	51	53	55	57	59	61	63	64	66	67	69	71	72	74	76	78	80	82	84	85	87	88	90	91
Pátek	0	900	1800	2700	3600	4500	5400	6300	7200	8100	9000	9900	10800	11700	12600	13500	14400	15300	16200	17100	18000	18900	19800	20700	21600	22500	23400	24300	25200	26100	27000	27900	28800	29700	30600	31500	32400	33300	34200	35100	36000	36900	37800	38700	39600	40500	41400	42300	43200	44100	45000	45900	46800	47700	48600	49500	50400	51300	52200	53100	54000	54900	55800	56700	57600	58500	59400	60300	61200	62100	63000	63900	64800	65700	66600	67500	68400	69300	70200	71100	72000	72900	73800	74700	75600	76500	77400	78300	79200	80100	81000	81900	82800	83700	84600	85500
	92	93	93	94	94	95	95	95	95	96	96	96	96	96	96	96	96	96	96	96	96	96	95	94	93	91	88	85	82	79	75	71	66	63	58	54	51	48	45	43	40	39	37	36	35	34	33	33	33	33	33	33	33	34	35	35	36	38	39	40	42	44	46	48	49	51	53	55	57	59	60	62	63	64	66	67	68	69	71	72	73	74	76	77	78	79	80	81	83	84	86	87	88	89	90	91
Sobota	0	900	1800	2700	3600	4500	5400	6300	7200	8100	9000	9900	10800	11700	12600	13500	14400	15300	16200	17100	18000	18900	19800	20700	21600	22500	23400	24300	25200	26100	27000	27900	28800	29700	30600	31500	32400	33300	34200	35100	36000	36900	37800	38700	39600	40500	41400	42300	43200	44100	45000	45900	46800	47700	48600	49500	50400	51300	52200	53100	54000	54900	55800	56700	57600	58500	59400	60300	61200	62100	63000	63900	64800	65700	66600	67500	68400	69300	70200	71100	72000	72900	73800	74700	75600	76500	77400	78300	79200	80100	81000	81900	82800	83700	84600	85500
