day_w;hours;minutes;total_arrival_count
1;0;0;2
1;0;1;1
1;0;2;4
1;0;3;3
1;0;4;4
1;0;5;3
1;0;6;1
1;0;7;3
1;0;8;4
1;0;9;3
1;0;10;2
1;0;11;2
1;0;12;2
1;0;13;1
1;0;14;5
1;0;15;3
1;0;17;3
1;0;19;3
1;0;20;1
1;0;21;4
1;0;22;3
1;0;23;3
1;0;24;5
1;0;25;3
1;0;26;3
1;0;27;4
1;0;28;1
1;0;29;1
1;0;30;1
1;0;31;5
1;0;32;1
1;0;33;1
1;0;34;2
1;0;35;3
1;0;36;4
1;0;37;4
1;0;38;2
1;0;40;2
1;0;42;4
1;0;43;3
1;0;44;2
1;0;45;2
1;0;46;4
1;0;47;3
1;0;48;2
1;0;49;1
1;0;51;5
1;0;52;3
1;0;54;4
1;0;55;3
1;0;56;1
1;0;57;2
1;0;58;2
1;0;59;2
1;1;0;7
1;1;1;3
1;1;2;4
1;1;3;1
1;1;5;3
1;1;6;1
1;1;7;5
1;1;8;2
1;1;9;4
1;1;10;2
1;1;11;4
1;1;12;1
1;1;13;2
1;1;14;4
1;1;15;1
1;1;16;2
1;1;17;1
1;1;18;2
1;1;19;1
1;1;20;1
1;1;21;1
1;1;22;2
1;1;23;1
1;1;24;6
1;1;25;5
1;1;26;1
1;1;27;2
1;1;28;1
1;1;29;2
1;1;30;3
1;1;31;1
1;1;32;3
1;1;33;1
1;1;34;1
1;1;36;1
1;1;38;3
1;1;39;4
1;1;40;4
1;1;41;2
1;1;42;2
1;1;43;3
1;1;44;2
1;1;45;5
1;1;46;2
1;1;47;3
1;1;48;1
1;1;49;1
1;1;50;2
1;1;53;1
1;1;54;3
1;1;55;2
1;1;56;1
1;1;57;3
1;1;58;2
1;1;59;1
1;2;0;2
1;2;1;1
1;2;2;3
1;2;3;2
1;2;4;2
1;2;6;3
1;2;7;3
1;2;8;2
1;2;9;1
1;2;10;3
1;2;11;1
1;2;12;5
1;2;13;1
1;2;14;3
1;2;15;4
1;2;16;2
1;2;17;3
1;2;18;1
1;2;20;6
1;2;21;2
1;2;22;2
1;2;23;4
1;2;24;1
1;2;25;1
1;2;28;2
1;2;29;4
1;2;30;3
1;2;31;4
1;2;32;2
1;2;33;4
1;2;34;1
1;2;35;1
1;2;36;1
1;2;38;5
1;2;39;4
1;2;40;2
1;2;41;2
1;2;42;2
1;2;43;5
1;2;44;1
1;2;45;4
1;2;46;3
1;2;47;1
1;2;48;3
1;2;49;4
1;2;50;1
1;2;52;2
1;2;53;6
1;2;54;1
1;2;55;1
1;2;56;4
1;2;57;7
1;2;58;2
1;2;59;2
1;3;1;2
1;3;4;2
1;3;5;1
1;3;6;2
1;3;7;1
1;3;9;1
1;3;11;2
1;3;12;2
1;3;13;2
1;3;14;3
1;3;15;2
1;3;17;2
1;3;19;2
1;3;20;3
1;3;21;1
1;3;22;3
1;3;23;2
1;3;24;2
1;3;25;1
1;3;26;1
1;3;27;1
1;3;28;2
1;3;29;2
1;3;30;2
1;3;31;3
1;3;33;2
1;3;34;2
1;3;35;2
1;3;38;3
1;3;39;1
1;3;40;1
1;3;42;3
1;3;43;2
1;3;44;2
1;3;45;2
1;3;46;1
1;3;47;2
1;3;48;1
1;3;49;4
1;3;50;1
1;3;51;5
1;3;52;1
1;3;53;3
1;3;54;1
1;3;55;3
1;3;56;2
1;3;57;2
1;3;58;5
1;3;59;3
1;4;0;2
1;4;2;1
1;4;3;3
1;4;4;3
1;4;5;2
1;4;6;2
1;4;7;4
1;4;8;7
1;4;9;5
1;4;10;5
1;4;11;3
1;4;12;2
1;4;13;10
1;4;14;7
1;4;15;8
1;4;16;2
1;4;17;7
1;4;18;2
1;4;19;7
1;4;20;6
1;4;21;4
1;4;22;7
1;4;23;7
1;4;24;9
1;4;25;4
1;4;26;11
1;4;27;7
1;4;28;2
1;4;29;4
1;4;30;3
1;4;31;8
1;4;32;2
1;4;33;7
1;4;34;7
1;4;35;8
1;4;36;10
1;4;37;10
1;4;38;12
1;4;39;9
1;4;40;11
1;4;41;11
1;4;42;9
1;4;43;8
1;4;44;5
1;4;45;8
1;4;46;9
1;4;47;13
1;4;48;8
1;4;49;14
1;4;50;10
